Category,Expense
Repairs & Maintenance,HVAC system repairs
Repairs & Maintenance,Plumbing repairs
Repairs & Maintenance,Electrical repairs
Repairs & Maintenance,Roof repairs
Repairs & Maintenance,Grounds maintenance
Repairs & Maintenance,Painting services
Repairs & Maintenance,Carpentry services
Repairs & Maintenance,Janitorial services
Repairs & Maintenance,Landscaping services
Repairs & Maintenance,Pest control services
Repairs & Maintenance,Elevator maintenance
Repairs & Maintenance,IT equipment maintenance
Repairs & Maintenance,Fleet maintenance
Repairs & Maintenance,Boiler maintenance
Repairs & Maintenance,Generator maintenance
Software & Subscriptions,Adobe Creative Suite
Software & Subscriptions,Microsoft Office
Software & Subscriptions,Dropbox storage subscriptions
Software & Subscriptions,Asana subscriptions
Software & Subscriptions,Salesforce CRM software subscriptions
Software & Subscriptions,QuickBooks subscriptions
Software & Subscriptions,Mailchimp subscriptions
Software & Subscriptions,Web hosting subscriptions
Software & Subscriptions,Domain registration fees
Software & Subscriptions,Shopifysubscriptions
Software & Subscriptions,Zoom subscriptions
Software & Subscriptions,Antivirus software subscriptions
Software & Subscriptions,Cybersecurity software subscriptions
Software & Subscriptions,Data backup and recovery services
Software & Subscriptions,Hootsuite subscriptions
Software & Subscriptions,Google Analytics subscriptions
Software & Subscriptions,Employee scheduling software subscriptions
Software & Subscriptions,HR management software subscriptions
Software & Subscriptions,Inventory management software subscriptions
Food,Granola bars
Food,Coffee beans
Food,Tea bags
Food,Bottled water
Food,Soft drinks
Food,Fresh fruit
Food,Fresh vegetables
Food,Sandwich ingredients
Food,Deli meats and cheeses
Food,Bread and rolls
Food,Salad ingredients
Food,Ketchup
Food,Cooking oils
Food,Spices
